Topic,Repos,Tag,Metrics,Value
Model,alexandrainst/danlp,v0.0.3,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.3,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.3,Environment,0.0
Model,alexandrainst/danlp,v0.0.4,Permissions,0.0
Model,alexandrainst/danlp,v0.0.4,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.4,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.4,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.4,Environment,0.0
Model,alexandrainst/danlp,v0.0.5,Permissions,0.0
Model,alexandrainst/danlp,v0.0.5,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.5,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.5,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.5,Environment,0.0
Model,alexandrainst/danlp,v0.0.6,Permissions,0.0
Model,alexandrainst/danlp,v0.0.6,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.6,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.6,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.6,Environment,0.0
Model,alexandrainst/danlp,v0.0.8,Permissions,0.0
Model,alexandrainst/danlp,v0.0.8,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.8,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.8,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.8,Environment,0.0
Model,alexandrainst/danlp,v.0.0.9,Permissions,0.0
Model,alexandrainst/danlp,v.0.0.9,Filesystem,0.0
Model,alexandrainst/danlp,v.0.0.9,Dependencies,50.0
Model,alexandrainst/danlp,v.0.0.9,Build/Execute,50.0
Model,alexandrainst/danlp,v.0.0.9,Environment,0.0
Model,alexandrainst/danlp,v.0.0.10,Permissions,0.0
Model,alexandrainst/danlp,v.0.0.10,Filesystem,0.0
Model,alexandrainst/danlp,v.0.0.10,Dependencies,50.0
Model,alexandrainst/danlp,v.0.0.10,Build/Execute,50.0
Model,alexandrainst/danlp,v.0.0.10,Environment,0.0
Model,alexandrainst/danlp,v0.0.11,Permissions,0.0
Model,alexandrainst/danlp,v0.0.11,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.11,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.11,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.11,Environment,0.0
Model,alexandrainst/danlp,v0.0.12,Permissions,0.0
Model,alexandrainst/danlp,v0.0.12,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.12,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.12,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.12,Environment,0.0
Model,alexandrainst/danlp,v0.1.0,Permissions,0.0
Model,alexandrainst/danlp,v0.1.0,Filesystem,0.0
Model,alexandrainst/danlp,v0.1.0,Dependencies,50.0
Model,alexandrainst/danlp,v0.1.0,Build/Execute,50.0
Model,alexandrainst/danlp,v0.1.0,Environment,0.0
Model,alexandrainst/danlp,v0.1.1,Permissions,0.0
Model,alexandrainst/danlp,v0.1.1,Filesystem,0.0
Model,alexandrainst/danlp,v0.1.1,Dependencies,50.0
Model,alexandrainst/danlp,v0.1.1,Build/Execute,50.0
Model,alexandrainst/danlp,v0.1.1,Environment,0.0
MLops,kubeflow/kubeflow,v0.1.0-rc.0,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0-rc.0,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0-rc.0,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0-rc.0,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0-rc.0,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.0-rc.1,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0-rc.1,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0-rc.1,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0-rc.1,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0-rc.1,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.0-rc.2,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0-rc.2,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0-rc.2,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0-rc.2,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0-rc.2,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.0-rc.3,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0-rc.3,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0-rc.3,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0-rc.3,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0-rc.3,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.0,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.0-rc.4,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.0-rc.4,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.0-rc.4,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.0-rc.4,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.0-rc.4,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.1,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.1,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.1,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.1,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.1,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.2,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.2,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.2,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.2,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.2,Environment,1.75
MLops,kubeflow/kubeflow,v0.1.3,Permissions,11.93
MLops,kubeflow/kubeflow,v0.1.3,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.1.3,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.1.3,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.1.3,Environment,1.75
MLops,kubeflow/kubeflow,v0.2.0-rc.0,Permissions,11.93
MLops,kubeflow/kubeflow,v0.2.0-rc.0,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.2.0-rc.0,Dependencies,35.09
