Topic,Repos,Tag,Metrics,Value
AutoML,microsoft/nni,v0.4.1,VOLUME,0.0
AutoML,microsoft/nni,v0.4.1,RUN,58.33
AutoML,microsoft/nni,v0.4.1,ARG,2.08
AutoML,microsoft/nni,v0.4.1,SHELL,0.0
AutoML,microsoft/nni,v0.4.1,LABEL,2.08
AutoML,microsoft/nni,v0.4.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.4.1,ENV,16.67
AutoML,microsoft/nni,v0.4.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.4.1,CMD,0.0
AutoML,microsoft/nni,v0.4.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.5,ADD,6.25
AutoML,microsoft/nni,v0.5,COPY,6.25
AutoML,microsoft/nni,v0.5,USER,0.0
AutoML,microsoft/nni,v0.5,FROM,6.25
AutoML,microsoft/nni,v0.5,VOLUME,0.0
AutoML,microsoft/nni,v0.5,RUN,58.33
AutoML,microsoft/nni,v0.5,ARG,2.08
AutoML,microsoft/nni,v0.5,SHELL,0.0
AutoML,microsoft/nni,v0.5,LABEL,2.08
AutoML,microsoft/nni,v0.5,MAINTAINER,0.0
AutoML,microsoft/nni,v0.5,ENV,16.67
AutoML,microsoft/nni,v0.5,WORKDIR,2.08
AutoML,microsoft/nni,v0.5,CMD,0.0
AutoML,microsoft/nni,v0.5,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.5.1,ADD,6.25
AutoML,microsoft/nni,v0.5.1,COPY,6.25
AutoML,microsoft/nni,v0.5.1,USER,0.0
AutoML,microsoft/nni,v0.5.1,FROM,6.25
AutoML,microsoft/nni,v0.5.1,VOLUME,0.0
AutoML,microsoft/nni,v0.5.1,RUN,58.33
AutoML,microsoft/nni,v0.5.1,ARG,2.08
AutoML,microsoft/nni,v0.5.1,SHELL,0.0
AutoML,microsoft/nni,v0.5.1,LABEL,2.08
AutoML,microsoft/nni,v0.5.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.5.1,ENV,16.67
AutoML,microsoft/nni,v0.5.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.5.1,CMD,0.0
AutoML,microsoft/nni,v0.5.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.5.2,ADD,6.25
AutoML,microsoft/nni,v0.5.2,COPY,6.25
AutoML,microsoft/nni,v0.5.2,USER,0.0
AutoML,microsoft/nni,v0.5.2,FROM,6.25
AutoML,microsoft/nni,v0.5.2,VOLUME,0.0
AutoML,microsoft/nni,v0.5.2,RUN,58.33
AutoML,microsoft/nni,v0.5.2,ARG,2.08
AutoML,microsoft/nni,v0.5.2,SHELL,0.0
AutoML,microsoft/nni,v0.5.2,LABEL,2.08
AutoML,microsoft/nni,v0.5.2,MAINTAINER,0.0
AutoML,microsoft/nni,v0.5.2,ENV,16.67
AutoML,microsoft/nni,v0.5.2,WORKDIR,2.08
AutoML,microsoft/nni,v0.5.2,CMD,0.0
AutoML,microsoft/nni,v0.5.2,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.5.2.1,ADD,6.25
AutoML,microsoft/nni,v0.5.2.1,COPY,6.25
AutoML,microsoft/nni,v0.5.2.1,USER,0.0
AutoML,microsoft/nni,v0.5.2.1,FROM,6.25
AutoML,microsoft/nni,v0.5.2.1,VOLUME,0.0
AutoML,microsoft/nni,v0.5.2.1,RUN,58.33
AutoML,microsoft/nni,v0.5.2.1,ARG,2.08
AutoML,microsoft/nni,v0.5.2.1,SHELL,0.0
AutoML,microsoft/nni,v0.5.2.1,LABEL,2.08
AutoML,microsoft/nni,v0.5.2.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.5.2.1,ENV,16.67
AutoML,microsoft/nni,v0.5.2.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.5.2.1,CMD,0.0
AutoML,microsoft/nni,v0.5.2.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.6,ADD,6.25
AutoML,microsoft/nni,v0.6,COPY,6.25
AutoML,microsoft/nni,v0.6,USER,0.0
AutoML,microsoft/nni,v0.6,FROM,6.25
AutoML,microsoft/nni,v0.6,VOLUME,0.0
AutoML,microsoft/nni,v0.6,RUN,58.33
AutoML,microsoft/nni,v0.6,ARG,2.08
AutoML,microsoft/nni,v0.6,SHELL,0.0
AutoML,microsoft/nni,v0.6,LABEL,2.08
AutoML,microsoft/nni,v0.6,MAINTAINER,0.0
AutoML,microsoft/nni,v0.6,ENV,16.67
AutoML,microsoft/nni,v0.6,WORKDIR,2.08
AutoML,microsoft/nni,v0.6,CMD,0.0
AutoML,microsoft/nni,v0.6,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.7,ADD,6.25
AutoML,microsoft/nni,v0.7,COPY,6.25
AutoML,microsoft/nni,v0.7,USER,0.0
AutoML,microsoft/nni,v0.7,FROM,6.25
AutoML,microsoft/nni,v0.7,VOLUME,0.0
AutoML,microsoft/nni,v0.7,RUN,58.33
AutoML,microsoft/nni,v0.7,ARG,2.08
AutoML,microsoft/nni,v0.7,SHELL,0.0
AutoML,microsoft/nni,v0.7,LABEL,2.08
AutoML,microsoft/nni,v0.7,MAINTAINER,0.0
AutoML,microsoft/nni,v0.7,ENV,16.67
AutoML,microsoft/nni,v0.7,WORKDIR,2.08
AutoML,microsoft/nni,v0.7,CMD,0.0
AutoML,microsoft/nni,v0.7,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.8,ADD,6.25
AutoML,microsoft/nni,v0.8,COPY,6.25
AutoML,microsoft/nni,v0.8,USER,0.0
AutoML,microsoft/nni,v0.8,FROM,6.25
AutoML,microsoft/nni,v0.8,VOLUME,0.0
AutoML,microsoft/nni,v0.8,RUN,58.33
AutoML,microsoft/nni,v0.8,ARG,2.08
AutoML,microsoft/nni,v0.8,SHELL,0.0
AutoML,microsoft/nni,v0.8,LABEL,2.08
AutoML,microsoft/nni,v0.8,MAINTAINER,0.0
AutoML,microsoft/nni,v0.8,ENV,16.67
AutoML,microsoft/nni,v0.8,WORKDIR,2.08
AutoML,microsoft/nni,v0.8,CMD,0.0
AutoML,microsoft/nni,v0.8,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.9,ADD,6.25
AutoML,microsoft/nni,v0.9,COPY,6.25
AutoML,microsoft/nni,v0.9,USER,0.0
AutoML,microsoft/nni,v0.9,FROM,6.25
AutoML,microsoft/nni,v0.9,VOLUME,0.0
AutoML,microsoft/nni,v0.9,RUN,58.33
AutoML,microsoft/nni,v0.9,ARG,2.08
AutoML,microsoft/nni,v0.9,SHELL,0.0
AutoML,microsoft/nni,v0.9,LABEL,2.08
AutoML,microsoft/nni,v0.9,MAINTAINER,0.0
AutoML,microsoft/nni,v0.9,ENV,16.67
AutoML,microsoft/nni,v0.9,WORKDIR,2.08
AutoML,microsoft/nni,v0.9,CMD,0.0
AutoML,microsoft/nni,v0.9,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.9.1,ADD,6.25
AutoML,microsoft/nni,v0.9.1,COPY,6.25
AutoML,microsoft/nni,v0.9.1,USER,0.0
AutoML,microsoft/nni,v0.9.1,FROM,6.25
AutoML,microsoft/nni,v0.9.1,VOLUME,0.0
AutoML,microsoft/nni,v0.9.1,RUN,58.33
AutoML,microsoft/nni,v0.9.1,ARG,2.08
AutoML,microsoft/nni,v0.9.1,SHELL,0.0
AutoML,microsoft/nni,v0.9.1,LABEL,2.08
AutoML,microsoft/nni,v0.9.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.9.1,ENV,16.67
AutoML,microsoft/nni,v0.9.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.9.1,CMD,0.0
AutoML,microsoft/nni,v0.9.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.8.1,ADD,6.25
AutoML,microsoft/nni,v0.8.1,COPY,6.25
AutoML,microsoft/nni,v0.8.1,USER,0.0
AutoML,microsoft/nni,v0.8.1,FROM,6.25
AutoML,microsoft/nni,v0.8.1,VOLUME,0.0
AutoML,microsoft/nni,v0.8.1,RUN,58.33
AutoML,microsoft/nni,v0.8.1,ARG,2.08
AutoML,microsoft/nni,v0.8.1,SHELL,0.0
AutoML,microsoft/nni,v0.8.1,LABEL,2.08
AutoML,microsoft/nni,v0.8.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.8.1,ENV,16.67
AutoML,microsoft/nni,v0.8.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.8.1,CMD,0.0
AutoML,microsoft/nni,v0.8.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.7.1,ADD,6.25
AutoML,microsoft/nni,v0.7.1,COPY,6.25
AutoML,microsoft/nni,v0.7.1,USER,0.0
AutoML,microsoft/nni,v0.7.1,FROM,6.25
AutoML,microsoft/nni,v0.7.1,VOLUME,0.0
AutoML,microsoft/nni,v0.7.1,RUN,58.33
AutoML,microsoft/nni,v0.7.1,ARG,2.08
AutoML,microsoft/nni,v0.7.1,SHELL,0.0
AutoML,microsoft/nni,v0.7.1,LABEL,2.08
AutoML,microsoft/nni,v0.7.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.7.1,ENV,16.67
AutoML,microsoft/nni,v0.7.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.7.1,CMD,0.0
AutoML,microsoft/nni,v0.7.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.5.2.1.1,ADD,6.25
AutoML,microsoft/nni,v0.5.2.1.1,COPY,6.25
AutoML,microsoft/nni,v0.5.2.1.1,USER,0.0
AutoML,microsoft/nni,v0.5.2.1.1,FROM,6.25
AutoML,microsoft/nni,v0.5.2.1.1,VOLUME,0.0
AutoML,microsoft/nni,v0.5.2.1.1,RUN,58.33
AutoML,microsoft/nni,v0.5.2.1.1,ARG,2.08
AutoML,microsoft/nni,v0.5.2.1.1,SHELL,0.0
AutoML,microsoft/nni,v0.5.2.1.1,LABEL,2.08
AutoML,microsoft/nni,v0.5.2.1.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.5.2.1.1,ENV,16.67
AutoML,microsoft/nni,v0.5.2.1.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.5.2.1.1,CMD,0.0
AutoML,microsoft/nni,v0.5.2.1.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.9.1.1,ADD,6.25
AutoML,microsoft/nni,v0.9.1.1,COPY,6.25
AutoML,microsoft/nni,v0.9.1.1,USER,0.0
AutoML,microsoft/nni,v0.9.1.1,FROM,6.25
AutoML,microsoft/nni,v0.9.1.1,VOLUME,0.0
AutoML,microsoft/nni,v0.9.1.1,RUN,58.33
AutoML,microsoft/nni,v0.9.1.1,ARG,2.08
AutoML,microsoft/nni,v0.9.1.1,SHELL,0.0
AutoML,microsoft/nni,v0.9.1.1,LABEL,2.08
AutoML,microsoft/nni,v0.9.1.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.9.1.1,ENV,16.67
AutoML,microsoft/nni,v0.9.1.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.9.1.1,CMD,0.0
AutoML,microsoft/nni,v0.9.1.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.9.1.2,ADD,6.25
AutoML,microsoft/nni,v0.9.1.2,COPY,6.25
AutoML,microsoft/nni,v0.9.1.2,USER,0.0
AutoML,microsoft/nni,v0.9.1.2,FROM,6.25
AutoML,microsoft/nni,v0.9.1.2,VOLUME,0.0
AutoML,microsoft/nni,v0.9.1.2,RUN,58.33
AutoML,microsoft/nni,v0.9.1.2,ARG,2.08
AutoML,microsoft/nni,v0.9.1.2,SHELL,0.0
AutoML,microsoft/nni,v0.9.1.2,LABEL,2.08
AutoML,microsoft/nni,v0.9.1.2,MAINTAINER,0.0
AutoML,microsoft/nni,v0.9.1.2,ENV,16.67
AutoML,microsoft/nni,v0.9.1.2,WORKDIR,2.08
AutoML,microsoft/nni,v0.9.1.2,CMD,0.0
AutoML,microsoft/nni,v0.9.1.2,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.0,ADD,6.25
AutoML,microsoft/nni,v1.0,COPY,6.25
AutoML,microsoft/nni,v1.0,USER,0.0
AutoML,microsoft/nni,v1.0,FROM,6.25
AutoML,microsoft/nni,v1.0,VOLUME,0.0
AutoML,microsoft/nni,v1.0,RUN,58.33
AutoML,microsoft/nni,v1.0,ARG,2.08
AutoML,microsoft/nni,v1.0,SHELL,0.0
AutoML,microsoft/nni,v1.0,LABEL,2.08
AutoML,microsoft/nni,v1.0,MAINTAINER,0.0
AutoML,microsoft/nni,v1.0,ENV,16.67
AutoML,microsoft/nni,v1.0,WORKDIR,2.08
AutoML,microsoft/nni,v1.0,CMD,0.0
AutoML,microsoft/nni,v1.0,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.1,ADD,6.25
AutoML,microsoft/nni,v1.1,COPY,6.25
AutoML,microsoft/nni,v1.1,USER,0.0
AutoML,microsoft/nni,v1.1,FROM,6.25
AutoML,microsoft/nni,v1.1,VOLUME,0.0
AutoML,microsoft/nni,v1.1,RUN,58.33
AutoML,microsoft/nni,v1.1,ARG,2.08
AutoML,microsoft/nni,v1.1,SHELL,0.0
AutoML,microsoft/nni,v1.1,LABEL,2.08
AutoML,microsoft/nni,v1.1,MAINTAINER,0.0
AutoML,microsoft/nni,v1.1,ENV,16.67
AutoML,microsoft/nni,v1.1,WORKDIR,2.08
AutoML,microsoft/nni,v1.1,CMD,0.0
AutoML,microsoft/nni,v1.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.2,ADD,6.25
AutoML,microsoft/nni,v1.2,COPY,6.25
AutoML,microsoft/nni,v1.2,USER,0.0
AutoML,microsoft/nni,v1.2,FROM,6.25
AutoML,microsoft/nni,v1.2,VOLUME,0.0
AutoML,microsoft/nni,v1.2,RUN,58.33
AutoML,microsoft/nni,v1.2,ARG,2.08
AutoML,microsoft/nni,v1.2,SHELL,0.0
AutoML,microsoft/nni,v1.2,LABEL,2.08
AutoML,microsoft/nni,v1.2,MAINTAINER,0.0
AutoML,microsoft/nni,v1.2,ENV,16.67
AutoML,microsoft/nni,v1.2,WORKDIR,2.08
AutoML,microsoft/nni,v1.2,CMD,0.0
AutoML,microsoft/nni,v1.2,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.3,ADD,6.25
AutoML,microsoft/nni,v1.3,COPY,6.25
AutoML,microsoft/nni,v1.3,USER,0.0
AutoML,microsoft/nni,v1.3,FROM,6.25
AutoML,microsoft/nni,v1.3,VOLUME,0.0
AutoML,microsoft/nni,v1.3,RUN,58.33
AutoML,microsoft/nni,v1.3,ARG,2.08
AutoML,microsoft/nni,v1.3,SHELL,0.0
AutoML,microsoft/nni,v1.3,LABEL,2.08
AutoML,microsoft/nni,v1.3,MAINTAINER,0.0
AutoML,microsoft/nni,v1.3,ENV,16.67
AutoML,microsoft/nni,v1.3,WORKDIR,2.08
AutoML,microsoft/nni,v1.3,CMD,0.0
AutoML,microsoft/nni,v1.3,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.4,ADD,6.25
AutoML,microsoft/nni,v1.4,COPY,6.25
AutoML,microsoft/nni,v1.4,USER,0.0
AutoML,microsoft/nni,v1.4,FROM,6.25
AutoML,microsoft/nni,v1.4,VOLUME,0.0
AutoML,microsoft/nni,v1.4,RUN,58.33
AutoML,microsoft/nni,v1.4,ARG,2.08
AutoML,microsoft/nni,v1.4,SHELL,0.0
AutoML,microsoft/nni,v1.4,LABEL,2.08
AutoML,microsoft/nni,v1.4,MAINTAINER,0.0
AutoML,microsoft/nni,v1.4,ENV,16.67
AutoML,microsoft/nni,v1.4,WORKDIR,2.08
AutoML,microsoft/nni,v1.4,CMD,0.0
AutoML,microsoft/nni,v1.4,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.5,ADD,6.25
AutoML,microsoft/nni,v1.5,COPY,6.25
AutoML,microsoft/nni,v1.5,USER,0.0
AutoML,microsoft/nni,v1.5,FROM,6.25
AutoML,microsoft/nni,v1.5,VOLUME,0.0
AutoML,microsoft/nni,v1.5,RUN,58.33
AutoML,microsoft/nni,v1.5,ARG,2.08
AutoML,microsoft/nni,v1.5,SHELL,0.0
AutoML,microsoft/nni,v1.5,LABEL,2.08
AutoML,microsoft/nni,v1.5,MAINTAINER,0.0
AutoML,microsoft/nni,v1.5,ENV,16.67
AutoML,microsoft/nni,v1.5,WORKDIR,2.08
AutoML,microsoft/nni,v1.5,CMD,0.0
AutoML,microsoft/nni,v1.5,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.6,ADD,6.25
AutoML,microsoft/nni,v1.6,COPY,6.25
AutoML,microsoft/nni,v1.6,USER,0.0
AutoML,microsoft/nni,v1.6,FROM,6.25
AutoML,microsoft/nni,v1.6,VOLUME,0.0
AutoML,microsoft/nni,v1.6,RUN,58.33
AutoML,microsoft/nni,v1.6,ARG,2.08
AutoML,microsoft/nni,v1.6,SHELL,0.0
AutoML,microsoft/nni,v1.6,LABEL,2.08
AutoML,microsoft/nni,v1.6,MAINTAINER,0.0
AutoML,microsoft/nni,v1.6,ENV,16.67
AutoML,microsoft/nni,v1.6,WORKDIR,2.08
AutoML,microsoft/nni,v1.6,CMD,0.0
AutoML,microsoft/nni,v1.6,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.7,ADD,6.25
AutoML,microsoft/nni,v1.7,COPY,6.25
AutoML,microsoft/nni,v1.7,USER,0.0
AutoML,microsoft/nni,v1.7,FROM,6.25
AutoML,microsoft/nni,v1.7,VOLUME,0.0
AutoML,microsoft/nni,v1.7,RUN,58.33
AutoML,microsoft/nni,v1.7,ARG,2.08
AutoML,microsoft/nni,v1.7,SHELL,0.0
AutoML,microsoft/nni,v1.7,LABEL,2.08
AutoML,microsoft/nni,v1.7,MAINTAINER,0.0
AutoML,microsoft/nni,v1.7,ENV,16.67
AutoML,microsoft/nni,v1.7,WORKDIR,2.08
AutoML,microsoft/nni,v1.7,CMD,0.0
AutoML,microsoft/nni,v1.7,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.7.1,ADD,6.25
AutoML,microsoft/nni,v1.7.1,COPY,6.25
AutoML,microsoft/nni,v1.7.1,USER,0.0
AutoML,microsoft/nni,v1.7.1,FROM,6.25
AutoML,microsoft/nni,v1.7.1,VOLUME,0.0
AutoML,microsoft/nni,v1.7.1,RUN,58.33
AutoML,microsoft/nni,v1.7.1,ARG,2.08
AutoML,microsoft/nni,v1.7.1,SHELL,0.0
AutoML,microsoft/nni,v1.7.1,LABEL,2.08
AutoML,microsoft/nni,v1.7.1,MAINTAINER,0.0
AutoML,microsoft/nni,v1.7.1,ENV,16.67
AutoML,microsoft/nni,v1.7.1,WORKDIR,2.08
AutoML,microsoft/nni,v1.7.1,CMD,0.0
AutoML,microsoft/nni,v1.7.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.8,ADD,6.25
AutoML,microsoft/nni,v1.8,COPY,6.25
AutoML,microsoft/nni,v1.8,USER,0.0
AutoML,microsoft/nni,v1.8,FROM,6.25
AutoML,microsoft/nni,v1.8,VOLUME,0.0
AutoML,microsoft/nni,v1.8,RUN,58.33
AutoML,microsoft/nni,v1.8,ARG,2.08
AutoML,microsoft/nni,v1.8,SHELL,0.0
AutoML,microsoft/nni,v1.8,LABEL,2.08
AutoML,microsoft/nni,v1.8,MAINTAINER,0.0
AutoML,microsoft/nni,v1.8,ENV,16.67
AutoML,microsoft/nni,v1.8,WORKDIR,2.08
AutoML,microsoft/nni,v1.8,CMD,0.0
AutoML,microsoft/nni,v1.8,ENTRYPOINT,0.0
AutoML,microsoft/nni,v1.9,ADD,6.25
AutoML,microsoft/nni,v1.9,COPY,6.25
AutoML,microsoft/nni,v1.9,USER,0.0
AutoML,microsoft/nni,v1.9,FROM,6.25
AutoML,microsoft/nni,v1.9,VOLUME,0.0
AutoML,microsoft/nni,v1.9,RUN,58.33
AutoML,microsoft/nni,v1.9,ARG,2.08
AutoML,microsoft/nni,v1.9,SHELL,0.0
AutoML,microsoft/nni,v1.9,LABEL,2.08
AutoML,microsoft/nni,v1.9,MAINTAINER,0.0
AutoML,microsoft/nni,v1.9,ENV,16.67
AutoML,microsoft/nni,v1.9,WORKDIR,2.08
AutoML,microsoft/nni,v1.9,CMD,0.0
AutoML,microsoft/nni,v1.9,ENTRYPOINT,0.0
AutoML,microsoft/nni,v2.0,ADD,6.25
AutoML,microsoft/nni,v2.0,COPY,6.25
AutoML,microsoft/nni,v2.0,USER,0.0
AutoML,microsoft/nni,v2.0,FROM,6.25
AutoML,microsoft/nni,v2.0,VOLUME,0.0
AutoML,microsoft/nni,v2.0,RUN,58.33
AutoML,microsoft/nni,v2.0,ARG,2.08
AutoML,microsoft/nni,v2.0,SHELL,0.0
AutoML,microsoft/nni,v2.0,LABEL,2.08
AutoML,microsoft/nni,v2.0,MAINTAINER,0.0
AutoML,microsoft/nni,v2.0,ENV,16.67
AutoML,microsoft/nni,v2.0,WORKDIR,2.08
AutoML,microsoft/nni,v2.0,CMD,0.0
AutoML,microsoft/nni,v2.0,ENTRYPOINT,0.0
AutoML,microsoft/nni,v2.1,ADD,6.25
AutoML,microsoft/nni,v2.1,COPY,6.25
