Category,file_type,perc_number
MLOps/ AIOps,Python,25.6176
MLOps/ AIOps,Python,13.5072
MLOps/ AIOps,Python,15.712
MLOps/ AIOps,Python,3.3258
MLOps/ AIOps,Python,30.2461
MLOps/ AIOps,Python,27.559
MLOps/ AIOps,Python,19.6337
MLOps/ AIOps,Python,13.6716
MLOps/ AIOps,Python,31.0539
MLOps/ AIOps,Python,19.6666
MLOps/ AIOps,Python,27.4719
MLOps/ AIOps,Python,13.3112
MLOps/ AIOps,Python,25.7135
MLOps/ AIOps,Python,16.408
MLOps/ AIOps,Python,32.5246
MLOps/ AIOps,Python,13.3731
MLOps/ AIOps,Python,21.8426
MLOps/ AIOps,Python,8.0273
MLOps/ AIOps,Python,21.6138
MLOps/ AIOps,Python,30.8046
MLOps/ AIOps,Python,5.2547
MLOps/ AIOps,Python,14.904
MLOps/ AIOps,Python,33.612
MLOps/ AIOps,Python,13.1769
MLOps/ AIOps,Python,0.1558
MLOps/ AIOps,Python,32.9471
MLOps/ AIOps,Python,24.9592
MLOps/ AIOps,PEP,5.6244
MLOps/ AIOps,PEP,1.1596
MLOps/ AIOps,PEP,16.4711
MLOps/ AIOps,PEP,38.5434
MLOps/ AIOps,PEP,0.2589
MLOps/ AIOps,PEP,16.4528
MLOps/ AIOps,PEP,13.0289
MLOps/ AIOps,PEP,14.0894
MLOps/ AIOps,PEP,13.639
MLOps/ AIOps,PEP,25.8502
MLOps/ AIOps,PEP,23.9884
MLOps/ AIOps,PEP,0.2883
MLOps/ AIOps,PEP,17.3072
MLOps/ AIOps,PEP,8.4004
MLOps/ AIOps,PEP,12.141
MLOps/ AIOps,PEP,14.9046
MLOps/ AIOps,PEP,1.8715
MLOps/ AIOps,PEP,4.1808
MLOps/ AIOps,PEP,9.5083
MLOps/ AIOps,PEP,17.0287
MLOps/ AIOps,PEP,12.3111
MLOps/ AIOps,PEP,12.3895
MLOps/ AIOps,PEP,38.2172
MLOps/ AIOps,PEP,13.9693
MLOps/ AIOps,PEP,13.799
MLOps/ AIOps,PEP,17.2841
MLOps/ AIOps,PEP,25.0355
MLOps/ AIOps,PEP,8.6666
MLOps/ AIOps,PEP,14.3136
MLOps/ AIOps,PEP,14.8973
MLOps/ AIOps,PEP,29.4054
MLOps/ AIOps,PEP,3.1257
MLOps/ AIOps,PEP,35.4561
MLOps/ AIOps,PEP,1.199
MLOps/ AIOps,PEP,2.9037
MLOps/ AIOps,PEP,21.3166
MLOps/ AIOps,PEP,19.8753
MLOps/ AIOps,PEP,23.4237
MLOps/ AIOps,PEP,19.3099
MLOps/ AIOps,PEP,21.4843
MLOps/ AIOps,PEP,2.3225
MLOps/ AIOps,PEP,19.3112
MLOps/ AIOps,PEP,21.9318
MLOps/ AIOps,PEP,24.3117
MLOps/ AIOps,PEP,1.2961
MLOps/ AIOps,PEP,22.0271
MLOps/ AIOps,PEP,21.021
MLOps/ AIOps,PEP,2.7769
MLOps/ AIOps,PEP,12.9304
MLOps/ AIOps,PEP,2.8887
MLOps/ AIOps,PEP,5.2904
MLOps/ AIOps,PEP,11.4039
MLOps/ AIOps,PEP,17.6769
MLOps/ AIOps,PEP,10.9166
MLOps/ AIOps,PEP,23.5054
MLOps/ AIOps,PEP,16.9399
MLOps/ AIOps,PEP,27.3256
MLOps/ AIOps,PEP,1.1793
MLOps/ AIOps,PEP,24.3707
MLOps/ AIOps,PEP,11.6798
MLOps/ AIOps,PEP,28.4413
MLOps/ AIOps,PEP,6.0001
MLOps/ AIOps,PEP,21.8139
MLOps/ AIOps,PEP,6.5245
MLOps/ AIOps,PEP,20.8728
MLOps/ AIOps,PEP,29.3648
MLOps/ AIOps,PEP,1.2757
MLOps/ AIOps,PEP,11.3013
MLOps/ AIOps,PEP,21.9352
