Category,image,metrics,layer_size
DL Framwork,bvlc/caffe,CLS,793.76
DL Framwork,pytorch/pytorch,FLS,18.49
DL Framwork,pytorch/pytorch,CLS,2.79
DL Framwork,paddlepaddle/paddle,FLS,19.35
DL Framwork,paddlepaddle/paddle,CLS,5.36
DL Framwork,horovod/horovod,FLS,49.81
DL Framwork,horovod/horovod,CLS,6.74
DL Framwork,pytorchlightning/pytorch_lightning,FLS,37.55
DL Framwork,pytorchlightning/pytorch_lightning,CLS,8.29
DL Framwork,tensorlayer/tensorlayer,FLS,128.0
DL Framwork,tensorlayer/tensorlayer,CLS,1.8
DL Framwork,chainer/chainer,FLS,5.38
DL Framwork,chainer/chainer,CLS,2.03
DL Framwork,jinaai/jina,FLS,961.2
DL Framwork,jinaai/jina,CLS,147.1
DL Framwork,paddlepaddle/paddle-lite,FLS,128.01
DL Framwork,paddlepaddle/paddle-lite,CLS,4.18
DL Framwork,gordinmitya/mnn,FLS,7.97
DL Framwork,gordinmitya/mnn,CLS,2.2
DL Framwork,okdokey/flink-yarn,FLS,2.84
DL Framwork,sequenceiq/hadoop-docker,FLS,1.77
DL Framwork,sequenceiq/hadoop-docker,CLS,2.0
DL Framwork,pytorchignite/base,FLS,18.9
DL Framwork,pytorchignite/base,CLS,2.85
DL Framwork,stablebaselines/stable-baselines3,FLS,13.38
DL Framwork,stablebaselines/stable-baselines3-cpu,FLS,5.28
DL Framwork,stablebaselines/stable-baselines3-cpu,CLS,2.19
DL Framwork,stablebaselines/stable-baselines3-cpu,CLS,801.48
DL Framwork,deepjavalibrary/djl-serving,FLS,383.42
DL Framwork,deepjavalibrary/djl-serving,CLS,180.92
DL Framwork,nnabla/nnabla,FLS,2.88
DL Framwork,nnabla/nnabla,CLS,1.34
DL Framwork,tensorlayer/hyperpose,FLS,8.71
DL Framwork,tensorlayer/hyperpose,CLS,3.32
DL Framwork,rlworkgroup/garage-base,FLS,1.68
DL Framwork,rlworkgroup/garage-headless,FLS,5.72
DL Framwork,rlworkgroup/garage-ci,FLS,5.22
DL Framwork,rlworkgroup/garage-nvidia,FLS,11.84
DL Framwork,rlworkgroup/garage,FLS,5.24
DL Framwork,rlworkgroup/garage-intel,FLS,128.0
DL Framwork,rlworkgroup/garage-intel,CLS,1.85
DL Framwork,rlworkgroup/garage-intel,CLS,3.48
DL Framwork,rlworkgroup/garage-intel,CLS,313.31
DL Framwork,rlworkgroup/garage-intel,CLS,2.21
DL Framwork,rlworkgroup/garage-intel,CLS,1.86
DL Framwork,rlworkgroup/garage-intel,CLS,1.48
DL Framwork,determinedai/determined-master,FLS,272.69
DL Framwork,determinedai/determined-dev,FLS,272.69
