Topic,Repos,Tag,TagID,Metrics,composition,total
model,araffin/rl-baselines-zoo,v1.0,5,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.0,5,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.1,6,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.1,6,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.1,6,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.1,6,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.1,6,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.2,7,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.2,7,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.2,7,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.2,7,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.2,7,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.3,8,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.3,8,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.3,8,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.3,8,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.3,8,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.4,9,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.4,9,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.4,9,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.4,9,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.4,9,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.5,10,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.5,10,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.5,10,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.5,10,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.5,10,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v1.6,11,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v1.6,11,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v1.6,11,Environment,0.0,0
model,araffin/rl-baselines-zoo,v1.6,11,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v1.6,11,Filesystem,13.04,3
model,IntelAI/models,v1.0.0,0,Dependencies,41.96,1041
model,IntelAI/models,v1.0.0,0,Permissions,16.73,415
model,IntelAI/models,v1.0.0,0,Environment,0.48,12
model,IntelAI/models,v1.0.0,0,Build/Execute,24.3,603
model,IntelAI/models,v1.0.0,0,Filesystem,16.53,410
model,IntelAI/models,v1.1.0,1,Dependencies,41.96,1041
model,IntelAI/models,v1.1.0,1,Permissions,16.73,415
model,IntelAI/models,v1.1.0,1,Environment,0.48,12
model,IntelAI/models,v1.1.0,1,Build/Execute,24.3,603
model,IntelAI/models,v1.1.0,1,Filesystem,16.53,410
model,IntelAI/models,v1.2.0,2,Dependencies,41.96,1041
model,IntelAI/models,v1.2.0,2,Permissions,16.73,415
model,IntelAI/models,v1.2.0,2,Environment,0.48,12
model,IntelAI/models,v1.2.0,2,Build/Execute,24.3,603
model,IntelAI/models,v1.2.0,2,Filesystem,16.53,410
model,IntelAI/models,v1.2.1,3,Dependencies,41.96,1041
model,IntelAI/models,v1.2.1,3,Permissions,16.73,415
model,IntelAI/models,v1.2.1,3,Environment,0.48,12
model,IntelAI/models,v1.2.1,3,Build/Execute,24.3,603
model,IntelAI/models,v1.2.1,3,Filesystem,16.53,410
model,IntelAI/models,v1.3.0,4,Dependencies,41.96,1041
model,IntelAI/models,v1.3.0,4,Permissions,16.73,415
model,IntelAI/models,v1.3.0,4,Environment,0.48,12
model,IntelAI/models,v1.3.0,4,Build/Execute,24.3,603
model,IntelAI/models,v1.3.0,4,Filesystem,16.53,410
model,IntelAI/models,v1.3.1,5,Dependencies,41.96,1041
