repos,repo_version,filename,instructions,instructions_count
cmusatyalab/openface,latest,/opencv-dlib-torch.Dockerfile,MAINTAINER,1
cmusatyalab/openface,latest,/opencv-dlib-torch.Dockerfile,FROM,1
cmusatyalab/openface,latest,/opencv-dlib-torch.Dockerfile,RUN,6
microsoft/LightGBM,latest,/docker/dockerfile-python,ARG,1
microsoft/LightGBM,latest,/docker/dockerfile-python,RUN,1
microsoft/LightGBM,latest,/docker/dockerfile-python,ENV,1
microsoft/LightGBM,latest,/docker/dockerfile-python,FROM,1
microsoft/LightGBM,latest,/docker/dockerfile-r,ARG,1
microsoft/LightGBM,latest,/docker/dockerfile-r,RUN,1
microsoft/LightGBM,latest,/docker/dockerfile-r,WORKDIR,1
microsoft/LightGBM,latest,/docker/dockerfile-r,FROM,1
microsoft/LightGBM,latest,/docker/dockerfile-cli,RUN,2
microsoft/LightGBM,latest,/docker/dockerfile-cli,ENTRYPOINT,1
microsoft/LightGBM,latest,/docker/dockerfile-cli,FROM,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,CMD,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,EXPOSE,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,RUN,9
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,ENV,9
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,ENTRYPOINT,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,VOLUME,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,ADD,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,ARG,2
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,WORKDIR,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile.gpu,FROM,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,COPY,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,RUN,3
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,ENV,3
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,ENTRYPOINT,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,ARG,3
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,WORKDIR,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only.gpu,FROM,2
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,COPY,5
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,RUN,2
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,ENV,3
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,ENTRYPOINT,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,ARG,3
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,WORKDIR,1
microsoft/LightGBM,latest,/docker/gpu/dockerfile-cli-only-distroless.gpu,FROM,2
ultralytics/yolov3,latest,/Dockerfile,COPY,2
