repos,topic,total_dockerfiles,matching_image,all_images,dockerfiles,notags,base_images,purpose,docker_compose,compose_versions,compose_services,compose_networks,compose_volume,compose_env,other_dockerfiles,What,When,MLcomponent,Why,Maincomponent,Note
scikit-learn/scikit-learn,Machine Learning,0,{},"{'mcr.microsoft.com/azureml/sklearn-0.24.1-ubuntu18.04-py37-cpu-inference': ['20210517.v3', '20210518.v1', '20210601.v1', '20210603.v4', '20210608.v1', '20210611.v5', '20210622.v2', '20210629.v1', '20210705.v1', '20210712.v1', '20210719.v1', '20210726.v1', '20210728.v6', '20210802.v1', '20210809.v1', '20210816.v1', '20210823.1', '20210825.v2', '20210830.v1', '20210906.v1', '20210920.v1', '20210927.v1', '20210930.v4', '20211004.v1', '20211011.v1', '20211018.v1', '20211025.v1', '20211101.v1', '20211108.v1', '20211129.v1', '20211206.v7', '20220103.v1', '20220110.v1', 'latest']}",set(),1,{},{},0,{},{},{},{},{},1,,,,,,
BVLC/caffe,DL framwork,2,{},{},"{'/docker/cpu/Dockerfile', '/docker/gpu/Dockerfile'}",0,"{'/docker/gpu/Dockerfile': ['nvidia/cuda:8.0-cudnn6-devel-ubuntu16.04'], '/docker/cpu/Dockerfile': ['ubuntu:16.04']}","{'/docker/gpu/Dockerfile': {'Dependencies': 9, 'Filesystem': 9, 'Build/Execute': 9}, '/docker/cpu/Dockerfile': {'Dependencies': 8, 'Build/Execute': 7, 'Filesystem': 6}}",0,{},{},{},{},{},1,,,,,,
pytorch/pytorch,DL framwork,8,{},"{'pytorch/pytorch': ['0.4-cuda9-cudnn7-devel', '0.4.1-cuda9-cudnn7-devel', '0.4.1-cuda9-cudnn7-runtime', '0.4_cuda9_cudnn7', '1.0-cuda10.0-cudnn7-devel', '1.0-cuda10.0-cudnn7-runtime', '1.0.1-cuda10.0-cudnn7-devel', '1.0.1-cuda10.0-cudnn7-runtime', '1.1.0-cuda10.0-cudnn7.5-devel', '1.1.0-cuda10.0-cudnn7.5-runtime', '1.10.0-cuda11.3-cudnn8-devel', '1.10.0-cuda11.3-cudnn8-runtime', '1.2-cuda10.0-cudnn7-devel', '1.2-cuda10.0-cudnn7-runtime', '1.3-cuda10.1-cudnn7-devel', '1.3-cuda10.1-cudnn7-runtime', '1.4-cuda10.1-cudnn7-devel', '1.4-cuda10.1-cudnn7-runtime', '1.5-cuda10.1-cudnn7-devel', '1.5-cuda10.1-cudnn7-runtime', '1.5.1-cuda10.1-cudnn7-devel', '1.5.1-cuda10.1-cudnn7-runtime', '1.6.0-cuda10.1-cudnn7-devel', '1.6.0-cuda10.1-cudnn7-runtime', '1.7.0-cuda11.0-cudnn8-devel', '1.7.0-cuda11.0-cudnn8-runtime', '1.7.1-cuda11.0-cudnn8-devel', '1.7.1-cuda11.0-cudnn8-runtime', '1.8.0-cuda11.1-cudnn8-devel', '1.8.0-cuda11.1-cudnn8-runtime', '1.8.1-cuda10.2-cudnn7-devel', '1.8.1-cuda10.2-cudnn7-runtime', '1.8.1-cuda11.1-cudnn8-devel', '1.8.1-cuda11.1-cudnn8-runtime', '1.9.0-cuda10.2-cudnn7-devel', '1.9.0-cuda10.2-cudnn7-runtime', '1.9.0-cuda11.1-cudnn8-devel', '1.9.0-cuda11.1-cudnn8-runtime', '1.9.1-cuda11.1-cudnn8-devel', '1.9.1-cuda11.1-cudnn8-runtime', 'latest', 'nightly-devel-cuda10.0-cudnn7', 'nightly-devel-cuda9.2-cudnn7', 'nightly-runtime-cuda10.0-cudnn7', 'nightly-runtime-cuda9.2-cudnn7', 'v0.2']}","{'/docker/pytorch/ubuntu_cpu_gpu/Dockerfile', '/.circleci/docker/centos-rocm/Dockerfile', '/.circleci/docker/ubuntu/Dockerfile', '/.circleci/docker/ubuntu-rocm/Dockerfile', '/Dockerfile', '/docker/cpu-blis/Dockerfile', '/.circleci/docker/ubuntu-cuda/Dockerfile', '/caffe2/contrib/docker-ubuntu-14.04/Dockerfile'}",1,"{'/Dockerfile': ['${BASE_IMAGE} as dev-base', 'dev-base as conda', 'dev-base as submodule-update', 'conda as build', 'conda as conda-installs', '${BASE_IMAGE} as official', 'official as dev'], '/docker/pytorch/ubuntu_cpu_gpu/Dockerfile': ['${BASE_IMAGE} as dev-base', 'dev-base as conda'], '/docker/cpu-blis/Dockerfile': ['${BASE_IMAGE} as dev-base', 'dev-base as conda'], '/caffe2/contrib/docker-ubuntu-14.04/Dockerfile': ['ubuntu:trusty-20190515'], '/.circleci/docker/centos-rocm/Dockerfile': ['centos:${CENTOS_VERSION}'], '/.circleci/docker/ubuntu-rocm/Dockerfile': ['ubuntu:${UBUNTU_VERSION}'], '/.circleci/docker/ubuntu-cuda/Dockerfile': ['${IMAGE_NAME}'], '/.circleci/docker/ubuntu/Dockerfile': ['ubuntu:${UBUNTU_VERSION}']}","{'/Dockerfile': {'Dependencies': 11, 'Build/Execute': 8, 'Filesystem': 4, 'Permissions': 1}, '/docker/pytorch/ubuntu_cpu_gpu/Dockerfile': {'Dependencies': 13, 'Filesystem': 10, 'Build/Execute': 7, 'Permissions': 2}, '/docker/cpu-blis/Dockerfile': {'Build/Execute': 17, 'Dependencies': 12, 'Filesystem': 11, 'Environment': 2, 'Permissions': 1}, '/caffe2/contrib/docker-ubuntu-14.04/Dockerfile': {'Build/Execute': 20, 'Filesystem': 19, 'Dependencies': 18, 'Permissions': 1}, '/.circleci/docker/centos-rocm/Dockerfile': {'Build/Execute': 14, 'Filesystem': 12, 'Dependencies': 6}, '/.circleci/docker/ubuntu-rocm/Dockerfile': {'Filesystem': 12, 'Build/Execute': 12}, '/.circleci/docker/ubuntu-cuda/Dockerfile': {'Build/Execute': 16, 'Filesystem': 15}, '/.circleci/docker/ubuntu/Dockerfile': {'Filesystem': 20, 'Build/Execute': 19}}",0,{},{},{},{},{},12,"tool/ integration, build, testing, CI/CD, ","CI/CD, Development/ distribution",,Platform and runtime,"cpu, gpu, circleci, ubuntu, caffe2, language, centos, android",
ageitgey/face_recognition,application,7,{},{},"{'/Dockerfile.gpu', '/docker/Dockerfile-python-example', '/Dockerfile', '/docker/gpu-jupyter-kubeflow/Dockerfile', '/docker/cpu-jupyter-kubeflow/Dockerfile', '/docker/cpu/Dockerfile', '/docker/gpu/Dockerfile'}",0,"{'/Dockerfile.gpu': ['nvidia/cuda:9.0-cudnn7-devel'], '/Dockerfile': ['python:3.6-slim-stretch'], '/docker/Dockerfile-python-example': ['animcogn/face_recognition:cpu'], '/docker/gpu-jupyter-kubeflow/Dockerfile': ['animcogn/face_recognition:gpu'], '/docker/gpu/Dockerfile': ['nvidia/cuda:11.2.0-cudnn8-devel AS compile', 'nvidia/cuda:11.2.0-cudnn8-runtime'], '/docker/cpu/Dockerfile': ['python:3.8-slim-buster AS compile', 'python:3.8-slim-buster'], '/docker/cpu-jupyter-kubeflow/Dockerfile': ['animcogn/face_recognition:cpu']}","{'/Dockerfile.gpu': {'Build/Execute': 11, 'Dependencies': 10, 'Filesystem': 2}, '/Dockerfile': {'Dependencies': 8, 'Build/Execute': 8, 'Filesystem': 6}, '/docker/Dockerfile-python-example': {'Build/Execute': 4, 'Filesystem': 2, 'Dependencies': 1}, '/docker/gpu-jupyter-kubeflow/Dockerfile': {'Build/Execute': 2, 'Permissions': 2, 'Filesystem': 1, 'Dependencies': 1}, '/docker/gpu/Dockerfile': {'Dependencies': 13, 'Build/Execute': 13, 'Filesystem': 3}, '/docker/cpu/Dockerfile': {'Dependencies': 10, 'Build/Execute': 7, 'Filesystem': 2}, '/docker/cpu-jupyter-kubeflow/Dockerfile': {'Build/Execute': 2, 'Permissions': 2, 'Filesystem': 1, 'Dependencies': 1}}",1,{'/docker-compose.yml': '2.3'},{'/docker-compose.yml': ['face_recognition; face_recognition']},{},{},{},1,,,,,,
fastai/fastai,DL framwork,0,{},{},set(),0,{},{},1,{'/docker-compose.yml': '3'},"{'/docker-compose.yml': ['fastai; fastai/codespaces', 'notebook; fastai/codespaces', 'watcher; fastai/codespaces', 'jekyll; fastai/codespaces']}",{},{},{},1,,,,,,
PaddlePaddle/Paddle,DL framwork,13,{},{},"{'/tools/dockerfile/Dockerfile.ipu', '/tools/dockerfile/Dockerfile.centos', '/tools/dockerfile/Dockerfile.release18', '/tools/dockerfile/Dockerfile.rocm', '/tools/dockerfile/Dockerfile.ubuntu18', '/r/Dockerfile', '/tools/dockerfile/ci_dockerfile.sh', '/tools/dockerfile/Dockerfile.npu_x86_64', '/tools/dockerfile/Dockerfile.ubuntu', '/paddle/scripts/musl_build/Dockerfile', '/tools/dockerfile/Dockerfile.release16', '/tools/dockerfile/Dockerfile.paddle-npu-build', '/tools/dockerfile/Dockerfile.npu_aarch64'}",0,"{'/tools/dockerfile/Dockerfile.ipu': ['graphcore/poplar:latest'], '/tools/dockerfile/Dockerfile.ubuntu18': ['nvidia/cuda:<baseimg>'], '/tools/dockerfile/Dockerfile.release18': ['nvidia/cuda:<baseimg>'], '/tools/dockerfile/Dockerfile.release16': ['nvidia/cuda:<baseimg>'], '/tools/dockerfile/Dockerfile.centos': ['nvidia/cuda:<baseimg>'], '/tools/dockerfile/Dockerfile.paddle-npu-build': ['registry.baidubce.com/paddlepaddle/paddle-npu:latest-dev-cann5.0.2.alpha005-gcc82-x86_64-with-driver'], '/tools/dockerfile/Dockerfile.npu_x86_64': ['ubuntu:18.04'], '/tools/dockerfile/Dockerfile.rocm': ['centos:7.8.2003'], '/tools/dockerfile/Dockerfile.npu_aarch64': ['ubuntu:18.04'], '/tools/dockerfile/Dockerfile.ubuntu': ['nvidia/cuda:<baseimg>'], '/paddle/scripts/musl_build/Dockerfile': ['python:${PYTHON_VERSION}-alpine3.11'], '/r/Dockerfile': ['ubuntu:18.04']}","{'/tools/dockerfile/Dockerfile.ipu': {'Filesystem': 33, 'Dependencies': 29, 'Build/Execute': 17, 'Permissions': 1}, '/tools/dockerfile/Dockerfile.ubuntu18': {'Build/Execute': 49, 'Filesystem': 46, 'Dependencies': 28}, '/tools/dockerfile/Dockerfile.release18': {'Filesystem': 44, 'Dependencies': 22, 'Build/Execute': 20}, '/tools/dockerfile/Dockerfile.release16': {'Filesystem': 43, 'Build/Execute': 35, 'Dependencies': 30, 'Environment': 1}, '/tools/dockerfile/Dockerfile.centos': {'Build/Execute': 33, 'Filesystem': 23, 'Dependencies': 8}, '/tools/dockerfile/Dockerfile.paddle-npu-build': {'Dependencies': 2, 'Build/Execute': 1}, '/tools/dockerfile/ci_dockerfile.sh': {'Filesystem': 46, 'Build/Execute': 34, 'Dependencies': 29, 'Permissions': 1}, '/tools/dockerfile/Dockerfile.npu_x86_64': {'Filesystem': 55, 'Dependencies': 30, 'Build/Execute': 22, 'Permissions': 5, 'Environment': 1}, '/tools/dockerfile/Dockerfile.rocm': {'Filesystem': 58, 'Build/Execute': 31, 'Dependencies': 27, 'Permissions': 1}, '/tools/dockerfile/Dockerfile.npu_aarch64': {'Filesystem': 56, 'Dependencies': 30, 'Build/Execute': 22, 'Permissions': 5, 'Environment': 1}, '/tools/dockerfile/Dockerfile.ubuntu': {'Build/Execute': 99, 'Filesystem': 56, 'Dependencies': 52, 'Environment': 1}, '/paddle/scripts/musl_build/Dockerfile': {'Filesystem': 12, 'Dependencies': 7, 'Build/Execute': 6, 'Environment': 2}, '/r/Dockerfile': {'Filesystem': 22, 'Build/Execute': 3, 'Dependencies': 3}}",0,{},{},{},{},{},4,"tool/ integration, build, logging",Development/ distribution,,platform,"centos, ubuntu, os architecture (aarch64), npu, cmake, conda, language, ",
RasaHQ/rasa,application,9,{},{},"{'/docker/Dockerfile.pretrained_embeddings_spacy_de', '/docker/Dockerfile.base-builder', '/docker/Dockerfile.pretrained_embeddings_spacy_en', '/docker/Dockerfile.base-poetry', '/Dockerfile', '/docker/Dockerfile.pretrained_embeddings_mitie_en', '/docker/Dockerfile.full', '/docker/Dockerfile.base', '/docker/Dockerfile.base-mitie'}",0,"{'/Dockerfile': ['${IMAGE_BASE_NAME}:base-builder-${BASE_BUILDER_IMAGE_HASH} as builder', '${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH} as runner'], '/docker/Dockerfile.full': ['${IMAGE_BASE_NAME}:base-mitie-${BASE_MITIE_IMAGE_HASH} as mitie', '${IMAGE_BASE_NAME}:base-builder-${BASE_BUILDER_IMAGE_HASH} as builder', '${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH} as runner'], '/docker/Dockerfile.pretrained_embeddings_mitie_en': ['${IMAGE_BASE_NAME}:base-mitie-${BASE_MITIE_IMAGE_HASH} as mitie', '${IMAGE_BASE_NAME}:base-builder-${BASE_BUILDER_IMAGE_HASH} as builder', '${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH} as runner'], '/docker/Dockerfile.base-builder': ['${IMAGE_BASE_NAME}:base-poetry-${POETRY_VERSION}'], '/docker/Dockerfile.base-mitie': ['alpine:latest'], '/docker/Dockerfile.pretrained_embeddings_spacy_de': ['${IMAGE_BASE_NAME}:base-builder-${BASE_BUILDER_IMAGE_HASH} as builder', '${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH} as runner'], '/docker/Dockerfile.pretrained_embeddings_spacy_en': ['${IMAGE_BASE_NAME}:base-builder-${BASE_BUILDER_IMAGE_HASH} as builder', '${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH} as runner'], '/docker/Dockerfile.base': ['ubuntu:20.04'], '/docker/Dockerfile.base-poetry': ['${IMAGE_BASE_NAME}:base-${BASE_IMAGE_HASH}']}","{'/Dockerfile': {'Build/Execute': 4, 'Dependencies': 2, 'Permissions': 2, 'Filesystem': 1}, '/docker/Dockerfile.full': {'Build/Execute': 9, 'Dependencies': 2, 'Permissions': 2, 'Filesystem': 1}, '/docker/Dockerfile.pretrained_embeddings_mitie_en': {'Build/Execute': 5, 'Dependencies': 2, 'Permissions': 2, 'Filesystem': 1}, '/docker/Dockerfile.base-builder': {'Dependencies': 6, 'Build/Execute': 1}, '/docker/Dockerfile.base-mitie': {'Dependencies': 2, 'Build/Execute': 2}, '/docker/Dockerfile.pretrained_embeddings_spacy_de': {'Build/Execute': 5, 'Dependencies': 2, 'Permissions': 2, 'Filesystem': 1}, '/docker/Dockerfile.pretrained_embeddings_spacy_en': {'Build/Execute': 5, 'Dependencies': 2, 'Permissions': 2, 'Filesystem': 1}, '/docker/Dockerfile.base': {'Dependencies': 7, 'Build/Execute': 3, 'Permissions': 2}, '/docker/Dockerfile.base-poetry': {'Dependencies': 1, 'Build/Execute': 1}}",2,"{'/tests_deployment/docker-compose.integration.yml': '3.8', '/docker/docker-compose.yml': '3.0'}","{'/tests_deployment/docker-compose.integration.yml': ['redis; redis:6', 'postgres; postgres:13', 'rabbitmq; healthcheck/rabbitmq'], '/docker/docker-compose.yml': ['rasa; rasa/rasa:latest-full', 'action_server; rasa/rasa-sdk:latest', 'duckling; rasa/duckling:latest']}",{'/docker/docker-compose.yml': {'rasa-network': {}}},{},{'/tests_deployment/docker-compose.integration.yml': 5},7,"Serving, tools/ integration",Production,"Data, Model, Entrypoint, logs, project","multiple service, ",,
mozilla/DeepSpeech,application,2,{},{},"{'/Dockerfile.build.tmpl', '/Dockerfile.train.tmpl'}",0,"{'/Dockerfile.train.tmpl': ['tensorflow/tensorflow:1.15.4-gpu-py3'], '/Dockerfile.build.tmpl': ['nvidia/cuda:10.1-cudnn7-devel-ubuntu18.04']}","{'/Dockerfile.train.tmpl': {'Dependencies': 17, 'Build/Execute': 9, 'Filesystem': 8, 'Permissions': 1}, '/Dockerfile.build.tmpl': {'Dependencies': 18, 'Filesystem': 14, 'Build/Execute': 12}}",0,{},{},{},{},{},4,"build app, training model",Development and Production,"App, model training",,"C++ native client, Python bindings, and KenLM, Training code and dependencies",
ray-project/ray,mlops,11,{},{},"{'/docker/ray-ml/Dockerfile', '/docker/examples/Dockerfile', '/.buildkite/Dockerfile', '/docker/base-deps/Dockerfile', '/docker/ray-worker-container/Dockerfile', '/docker/ray/Dockerfile', '/docker/ray-deps/Dockerfile', '/.buildkite/Dockerfile.gpu', '/.gitpod/Dockerfile', '/docker/development/Dockerfile', '/python/ray/tests/project_files/docker_project/Dockerfile'}",0,"{'/docker/development/Dockerfile': ['rayproject/ray-deps:latest'], '/docker/ray-ml/Dockerfile': ['rayproject/ray:nightly""$BASE_IMAGE""'], '/docker/examples/Dockerfile': ['rayproject/ray:latest'], '/docker/ray-deps/Dockerfile': ['rayproject/base-deps:nightly""$BASE_IMAGE""'], '/docker/ray/Dockerfile': ['rayproject/ray-deps:nightly""$BASE_IMAGE""'], '/docker/ray-worker-container/Dockerfile': ['${BASE_IMAGE}'], '/docker/base-deps/Dockerfile': ['${BASE_IMAGE}'], '/.gitpod/Dockerfile': ['ubuntu:20.10'], '/.buildkite/Dockerfile.gpu': ['nvidia/cuda:11.2.0-cudnn8-devel-ubuntu18.04'], '/.buildkite/Dockerfile': ['ubuntu:focal']}","{'/docker/development/Dockerfile': {'Dependencies': 6, 'Filesystem': 4, 'Build/Execute': 3, 'Permissions': 1}, '/docker/ray-ml/Dockerfile': {'Build/Execute': 9, 'Filesystem': 6, 'Dependencies': 4}, '/docker/examples/Dockerfile': {'Dependencies': 5, 'Build/Execute': 2}, '/docker/ray-deps/Dockerfile': {'Filesystem': 3, 'Build/Execute': 1}, '/docker/ray/Dockerfile': {'Filesystem': 1, 'Build/Execute': 1}, '/docker/ray-worker-container/Dockerfile': {'Dependencies': 23, 'Build/Execute': 12, 'Filesystem': 11}, '/docker/base-deps/Dockerfile': {'Dependencies': 16, 'Filesystem': 9, 'Build/Execute': 9, 'Permissions': 2}, '/python/ray/tests/project_files/docker_project/Dockerfile': {}, '/.gitpod/Dockerfile': {'Dependencies': 13, 'Build/Execute': 8, 'Filesystem': 5, 'Environment': 1}, '/.buildkite/Dockerfile.gpu': {'Dependencies': 10, 'Build/Execute': 6, 'Filesystem': 5}, '/.buildkite/Dockerfile': {'Filesystem': 8, 'Dependencies': 7, 'Build/Execute': 6}}",0,{},{},{},{},{},14,,,,,,
Alluxio/alluxio,mlops,12,{},{},"{'/integration/kubernetes/operator/alluxio/Dockerfile', '/integration/kubernetes/operator/alluxio/cmd/webhook/check-mount/Dockerfile', '/dev/jenkins/Dockerfile-jdk11', '/integration/kubernetes/operator/alluxio/Dockerfile.debug', '/integration/kubernetes/operator/alluxio/Dockerfile.webhook', '/dev/jenkins/Dockerfile-jdk8', '/integration/docker/dockerfile-common.sh', '/integration/kubernetes/operator/alluxio/examples/demo-1/docker/Dockerfile', '/integration/docker/hms/Dockerfile', '/integration/docker/Dockerfile', '/integration/kubernetes/operator/alluxio/charts/alluxio-repo/alluxio-job/docker/Dockerfile', '/integration/docker/Dockerfile-dev'}",0,"{'/integration/docker/Dockerfile': ['golang:1.15.13-alpine AS dev', 'alpine:3.10.2 AS final'], '/integration/docker/Dockerfile-dev': ['golang:1.15.13-alpine AS dev', 'centos:7 AS final'], '/integration/docker/hms/Dockerfile': ['openjdk:8-jdk-alpine'], '/integration/kubernetes/operator/alluxio/Dockerfile.webhook': ['golang:1.14.2 as builder', 'alpine:3.10'], '/integration/kubernetes/operator/alluxio/Dockerfile': ['golang:1.14.2 as builder', 'alpine:3.10'], '/integration/kubernetes/operator/alluxio/Dockerfile.debug': ['golang:1.13.10-alpine3.11'], '/integration/kubernetes/operator/alluxio/cmd/webhook/check-mount/Dockerfile': ['python:3.7-alpine3.11'], '/integration/kubernetes/operator/alluxio/charts/alluxio-repo/alluxio-job/docker/Dockerfile': ['alluxio/alluxio:2.2.0-SNAPSHOT'], '/integration/kubernetes/operator/alluxio/examples/demo-1/docker/Dockerfile': ['alpine:3.11'], '/dev/jenkins/Dockerfile-jdk8': ['maven:3.6.3-jdk-8'], '/dev/jenkins/Dockerfile-jdk11': ['maven:3.6.3-jdk-11']}","{'/integration/docker/Dockerfile': {'Filesystem': 11, 'Dependencies': 8, 'Build/Execute': 4, 'Permissions': 2}, '/integration/docker/Dockerfile-dev': {'Filesystem': 15, 'Dependencies': 13, 'Build/Execute': 8, 'Permissions': 2}, '/integration/docker/dockerfile-common.sh': {'Build/Execute': 1}, '/integration/docker/hms/Dockerfile': {'Filesystem': 10, 'Dependencies': 1, 'Build/Execute': 1}, '/integration/kubernetes/operator/alluxio/Dockerfile.webhook': {'Filesystem': 3, 'Build/Execute': 2, 'Dependencies': 2, 'Permissions': 1}, '/integration/kubernetes/operator/alluxio/Dockerfile': {'Filesystem': 6, 'Dependencies': 4, 'Build/Execute': 3, 'Permissions': 3}, '/integration/kubernetes/operator/alluxio/Dockerfile.debug': {'Filesystem': 3, 'Dependencies': 2, 'Build/Execute': 2}, '/integration/kubernetes/operator/alluxio/cmd/webhook/check-mount/Dockerfile': {'Dependencies': 4, 'Filesystem': 3, 'Build/Execute': 3, 'Permissions': 1}, '/integration/kubernetes/operator/alluxio/charts/alluxio-repo/alluxio-job/docker/Dockerfile': {'Permissions': 1}, '/integration/kubernetes/operator/alluxio/examples/demo-1/docker/Dockerfile': {'Filesystem': 3, 'Dependencies': 2, 'Build/Execute': 1}, '/dev/jenkins/Dockerfile-jdk8': {'Dependencies': 6, 'Filesystem': 6, 'Build/Execute': 4, 'Permissions': 3}, '/dev/jenkins/Dockerfile-jdk11': {'Filesystem': 23, 'Dependencies': 8, 'Permissions': 5, 'Build/Execute': 4, 'Environment': 3}}",2,"{'/integration/metrics/docker-compose-master.yaml': '2', '/integration/metrics/docker-compose-worker.yaml': '2'}","{'/integration/metrics/docker-compose-master.yaml': ['jaeger-all-in-one; jaegertracing/all-in-one:latest', 'otel-collector; otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b', 'otel-agent; otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b', 'prometheus; prom/prometheus:latest'], '/integration/metrics/docker-compose-worker.yaml': ['otel-agent; otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b']}",{},{},{'/integration/metrics/docker-compose-worker.yaml': 1},9,"tool/ integration, build and deploy, data access,  monitoring/ metrics tracking, visualization, Web UI","Development/ distribution, production",Monitoring,,,
mlflow/mlflow,mlops,10,{},{},"{'/mlflow/R/mlflow/Dockerfile.dev', '/tests/resources/example_docker_project/Dockerfile', '/Dockerfile', '/tests/db/Dockerfile', '/dev/Dockerfile.protos.dockerignore', '/tests/db/Dockerfile.mssql', '/dev/Dockerfile.protos', '/examples/docker/Dockerfile', '/examples/mlflow_artifacts/Dockerfile', '/examples/mlflow_artifacts/Dockerfile.dev'}",0,"{'/Dockerfile': ['continuumio/miniconda3'], '/tests/resources/example_docker_project/Dockerfile': ['continuumio/miniconda3:4.6.14'], '/tests/db/Dockerfile': ['python:3.6'], '/tests/db/Dockerfile.mssql': ['python:3.6'], '/mlflow/R/mlflow/Dockerfile.dev': ['rocker/r-ver:4.1.2'], '/examples/docker/Dockerfile': ['continuumio/miniconda3:4.10.3'], '/examples/mlflow_artifacts/Dockerfile': ['python:3.6'], '/examples/mlflow_artifacts/Dockerfile.dev': ['python:3.6'], '/dev/Dockerfile.protos': ['ubuntu:20.04']}","{'/Dockerfile': {'Dependencies': 12, 'Build/Execute': 9, 'Filesystem': 2}, '/tests/resources/example_docker_project/Dockerfile': {'Dependencies': 5, 'Build/Execute': 4}, '/tests/db/Dockerfile': {'Dependencies': 3, 'Build/Execute': 2}, '/tests/db/Dockerfile.mssql': {'Dependencies': 11, 'Build/Execute': 4, 'Filesystem': 1}, '/mlflow/R/mlflow/Dockerfile.dev': {'Dependencies': 6, 'Filesystem': 2, 'Build/Execute': 1}, '/examples/docker/Dockerfile': {'Dependencies': 7, 'Build/Execute': 7}, '/examples/mlflow_artifacts/Dockerfile': {'Dependencies': 1, 'Build/Execute': 1}, '/examples/mlflow_artifacts/Dockerfile.dev': {'Dependencies': 3, 'Build/Execute': 3}, '/dev/Dockerfile.protos': {'Dependencies': 4, 'Filesystem': 2, 'Build/Execute': 1}, '/dev/Dockerfile.protos.dockerignore': {}}",2,"{'/tests/db/docker-compose.yml': '3', '/examples/mlflow_artifacts/docker-compose.yml': '3'}","{'/tests/db/docker-compose.yml': ['postgres; postgres', 'mysql; mysql', 'mssql; mcr.microsoft.com/mssql/server'], '/examples/mlflow_artifacts/docker-compose.yml': ['minio; minio/minio', 'minio-create-bucket; minio/mc', 'postgres; postgres']}",{},{},"{'/tests/db/docker-compose.yml': 13, '/examples/mlflow_artifacts/docker-compose.yml': 9}",11,,,,,,
wkentaro/labelme,application,1,{},{},{'/docker/Dockerfile'},0,{'/docker/Dockerfile': ['ubuntu:bionic']},"{'/docker/Dockerfile': {'Dependencies': 6, 'Build/Execute': 6, 'Filesystem': 2}}",0,{},{},{},{},{},1,"build and deploy app, entrypoint",Production,,Platform agnostic,OS,
