Topic,Repos,ProjectID,Tag,Sharedfiles,Memory
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,9,3
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,36,23
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,28,14
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,latest,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,8,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,18,1
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,16,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,1,0
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,9,3
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,36,23
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,28,14
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,latest,29,16
ToolKit,shogun-toolbox/shogun,P3,latest,39,7
ToolKit,shogun-toolbox/shogun,P3,master,57,17
Documentation,prabhuomkar/pytorch-cpp,P3,latest,30,1
Model,araffin/rl-baselines-zoo,P1,latest,29,0
Model,araffin/rl-baselines-zoo,P1,v2.8.0,29,0
Model,IntelAI/models,P0,1.15.2,10,2
Model,IntelAI/models,P0,2.3.0-mkl-jupyter,7,1
Model,IntelAI/models,P0,2.4.0-mkl-jupyter,7,2
Model,IntelAI/models,P0,2.6.0,4,1
Model,IntelAI/models,P0,ubuntu-20.04-mpi-horovod,22,2
Model,IntelAI/models,P0,1.1,4,1
Model,IntelAI/models,P0,latest,4,1
AutoML,autogoal/autogoal,P0,audio-command,11,1
AutoML,autogoal/autogoal,P0,basic,26,9
AutoML,autogoal/autogoal,P0,latest,11,1
Documentation,JdeRobot/RoboticsAcademy,P2,base,25,5
Documentation,JdeRobot/RoboticsAcademy,P2,latest,21,5
Model,alexandrainst/danlp,P2,0.0.2,28,5
Model,alexandrainst/danlp,P2,0.0.2-notebook,70,25
Model,alexandrainst/danlp,P2,latest,28,5
Model,alexandrainst/danlp,P2,latest-notebook,70,25
MLops,kubeflow/kubeflow,P4,latest,4,0
MLops,bentoml/BentoML,P3,0.10.0,34,4
MLops,bentoml/BentoML,P3,0.12.0-slim-py36,18,1
MLops,bentoml/BentoML,P3,0.8.1,30,3
MLops,bentoml/BentoML,P3,0.9.0-slim-py38,18,1
MLops,bentoml/BentoML,P3,latest-slim-py38,17,1
MLops,bentoml/BentoML,P3,0.10.0,20,9
MLops,bentoml/BentoML,P3,0.13.1,18,8
MLops,bentoml/BentoML,P3,0.7.6,31,10
MLops,bentoml/BentoML,P3,0.8.5,19,9
MLops,bentoml/BentoML,P3,latest,18,8
MLops,bentoml/BentoML,P3,0.10.0,34,4
MLops,bentoml/BentoML,P3,0.12.0-slim-py36,18,1
MLops,bentoml/BentoML,P3,0.8.1,30,3
MLops,bentoml/BentoML,P3,0.9.0-slim-py38,18,1
MLops,bentoml/BentoML,P3,latest-slim-py38,17,1
MLops,bentoml/BentoML,P3,0.10.0,20,9
MLops,bentoml/BentoML,P3,0.13.1,18,8
MLops,bentoml/BentoML,P3,0.7.6,31,10
MLops,bentoml/BentoML,P3,0.8.5,19,9
MLops,bentoml/BentoML,P3,latest,18,8
MLops,SeldonIO/seldon-core,P2,0.1,38,10
MLops,SeldonIO/seldon-core,P2,1.1.1-SNAPSHOT_20200416102539,32,4
MLops,SeldonIO/seldon-core,P2,1.2.3-dev_20200817141105,31,4
MLops,SeldonIO/seldon-core,P2,1.3.0-dev_20200811141454,31,4
MLops,SeldonIO/seldon-core,P2,latest,43,14
MLops,tensorflow/tfx,P0,1.10.0,46,7
MLops,tensorflow/tfx,P0,1.15.0-gpu,36,1
MLops,tensorflow/tfx,P0,2.3.0,20,1
MLops,tensorflow/tfx,P0,2.5.0-rc3-devel,5,2
MLops,tensorflow/tfx,P0,nightlygpu,42,1
MLops,tensorflow/tfx,P0,0.12.0,13,3
MLops,tensorflow/tfx,P0,0.22.0.dev20200228,12,2
MLops,tensorflow/tfx,P0,0.25.0.dev20201003,8,2
MLops,tensorflow/tfx,P0,0.29.0.dev20210327,21,3
MLops,tensorflow/tfx,P0,workshop-latest,40,6
